id,trigger,conditions,script,text,options,notes
greeting_Neutral_KangCharter,OpenCommLink,"$faction.id == kangcharter
$faction.neutralToPlayer","$menuState = fleetConvMain 0 
FireAll PopulateOptions","""You are communing with $personRank $personName of the Kang Charter, do you have business with us?""
OR
""Outsider, state your business.""
OR
""May the abyssal lights light your path, traveler.""
OR
""You are... $playerName. What brings you to the Charter?""
OR
""Have you sought us out, outsider? We of the Kang Charter welcome those fleeing the destruction of the sector.""
OR
""The Sovereign Kang Charter of Orion acknowledges you.""
OR
""Do you have something to discuss outsider?""",,
greeting_HostileNeutral_Weaker_KangCharter,OpenCommLink,"$faction.id == kangcharter
$entity.isHostile
$entity.relativeStrength < 0",$entity.ignorePlayerCommRequests = true 1,"""Cease your approach immediately, outsider.""
OR
""The Judiciary Executor council will hear of this transgression.""
OR
""We don't fear you, outsider. Only the infinite void is worthy of such reaction.""
OR
""Stand down, enemy of the Charter, there's no need for senseless violence.""
OR
""We came to the abyss to escape the pointless violence of the sector, and yet it follows us wherever we go.""
OR
""The Kang Charter has survived threats that dwarf your capabilities, outsider.""
OR
""May the abyss swallow you whole, outsider.""",cutCommLink:Cut the comm link,
greetingHostile_Weaker_KangCharter,OpenCommLink,"$faction.id == kangcharter
$entity.isHostile
$entity.relativeStrength < 0
$faction.rel == HOSTILE",$entity.ignorePlayerCommRequests = true 1,"""Cease your approach immediately, $playerName.""
OR
""The Judiciary Executor council will hear of this transgression.""
OR
""We don't fear you, $playerName. Only the infinite void is worthy of such reaction.""
OR
""Stand down, enemy of the Charter, there's no need for senseless violence.""
OR
""We came to the abyss to escape the pointless violence of the sector, and yet it follows us wherever we go.""
OR
""The Kang Charter has survived threats that dwarf your capabilities, $playerName.""
OR
""May the abyss swallow you whole, $playerName.""",cutCommLink:Cut the comm link,
greeting_Vengeful_Weaker_KangCharter,OpenCommLink,"$faction.id == kangcharter
$entity.isHostile
$entity.relativeStrength < 0
$faction.rel == VENGEFUL",$entity.ignorePlayerCommRequests = true 1,"""Have you no mercy, dweller?""
OR
""One day you will get what is coming to you.""
OR
""We don't fear you, dweller. Only the infinite void is worthy of such reaction.""
OR
""You fancy yourself a big shot? Know that no one escape judgement.""
OR
""We came to the abyss to escape the pointless violence of the sector, and yet it follows us wherever we go.""
OR
""The Kang Charter has survived threats that dwarf your capabilities, dweller.""
OR
""May the abyss swallow you whole, dweller.""",cutCommLink:Cut the comm link,
greetingHostileNeutral_WeakerDefiant_KangCharter,OpenCommLink,"$faction.id == kangcharter
$entity.isHostile
$entity.relativeStrength < 0
$entity.weakerThanPlayerButHolding
",$entity.ignorePlayerCommRequests = true 1,"""Outsider, today we battle. I will not retreat.""
OR
""The Judiciary Executor council will hear of this transgression.""
OR
""Outsider! You threaten the Kang Charter. That will not stand for as long as I breathe.""
OR
""The void will watch us do battle, outsider, but only you will see its face.""
OR
""Your path of violence leads only to loss, outsider.""
OR
""We bow to no one, the Charter will be free! Always!""
OR
""All that we have built will not be destroyed by you, outsider.""
OR
""From a dead star we built a world, outsider. That world will live on no matter what you do.""",cutCommLink:Cut the comm link,
greetingHostile_WeakerDefiant_KangCharter,OpenCommLink,"$faction.id == kangcharter
$entity.isHostile
$entity.relativeStrength < 0
$entity.weakerThanPlayerButHolding
$faction.rel == HOSTILE",$entity.ignorePlayerCommRequests = true 1,"""$playerName, today we battle. I will not retreat.""
OR
""The Judiciary Executor council will hear of this transgression.""
OR
""$playerName! You threaten the Kang Charter. That will not stand for as long as I breathe.""
OR
""The void will watch us do battle, $playerName, but only you will see its face.""
OR
""Your path of violence leads only to loss, $playerName.""
OR
""We bow to no one, the Charter will be free! Always!""
OR
""All that we have built will not be destroyed by you, $playerName.""
OR
""From a dead star we built a world, $playerName. That world will live on no matter what you do.""",cutCommLink:Cut the comm link,
greetingVengeful_WeakerDefiant_KangCharter,OpenCommLink,"$faction.id == kangcharter
$entity.isHostile
$entity.relativeStrength < 0
$entity.weakerThanPlayerButHolding
$faction.rel == VENGEFUL",$entity.ignorePlayerCommRequests = true 1,"""Dweller! today we battle. I will not retreat.""
OR
""We have nothing to discuss.""
OR
""Dweller! You threaten the Kang Charter. That will not stand for as long as I breathe.""
OR
""The void will watch us do battle, dweller, but only you will see its face.""
OR
""Your path of violence leads only to loss, dweller.""
OR
""We bow to no one, the Charter will be free! Always!""
OR
""All that we have built will not be destroyed by you, dweller.""
OR
""From a dead star we built a world, outsider. That world will live on no matter what you do.""",cutCommLink:Cut the comm link,
greetingHostile_Neutral_Even_KangCharter,OpenCommLink,"$faction.id == kangcharter
$entity.isHostile
$entity.relativeStrength == 0",$entity.ignorePlayerCommRequests = true 1,"""We are evenly matched, outsider. This will be a true test of skill.""",cutCommLink:Cut the comm link,
greetingHostile_Even_KangCharter,OpenCommLink,"$faction.id == kangcharter
$entity.isHostile
$entity.relativeStrength == 0
$faction.rel == HOSTILE",$entity.ignorePlayerCommRequests = true 1,"""We are evenly matched, $playerName. This will be a true test of skill.""",cutCommLink:Cut the comm link,
greetingVengeful_Even_KangCharter,OpenCommLink,"$faction.id == kangcharter
$entity.isHostile
$entity.relativeStrength == 0
$faction.rel == VENGEFUL",$entity.ignorePlayerCommRequests = true 1,"""We are evenly matched, dweller. This will be a true test of skill.""",cutCommLink:Cut the comm link,
greetingHostileNeutral_Stronger_KangCharter,OpenCommLink,"$faction.id == kangcharter
$entity.isHostile
$entity.relativeStrength > 0",$entity.ignorePlayerCommRequests = true 1,"""Outsider, today we battle.""
OR
""The void will watch us do battle, outsider, but only you will see its face.""
OR
""The void calls your name, outsider.""
OR
""The void will claim you, $playerName. Prepare yourself.""""
OR
""We bow to no one, not the League, not the path, not Volcov and especially not you.""
OR
""In the name of the Sovereign Kang Charter of Orion, I will strike you down.""",cutCommLink:Cut the comm link,
greetingHostile_Stronger_KangCharter,OpenCommLink,"$faction.id == kangcharter
$entity.isHostile
$entity.relativeStrength > 0
$faction.rel == HOSTILE",$entity.ignorePlayerCommRequests = true 1,"""$playerName, today we battle.""
OR
""The void will watch us do battle, $playerName, but only you will see its face.""
OR
""The void calls your name, $playerName.""
OR
""$playerName, you are under arrest by order of the Judiciary Executor council of the Sovereign Kang Charter of Orion. Power down your ships immediately or we will open fire.""
OR
""$playerName, You threaten the Kang Charter. This ends now.""
OR
""The void will claim you, $playerName. Prepare yourself.""""
OR
""In the name of the Sovereign Kang Charter of Orion, I will strike you down.""
OR
""We bow to no one, not the Diktat, not the machines, not the PRV and especially not you.""
OR
""Your path of violence ends now.""
OR
""May Kang smile on this battle.""",cutCommLink:Cut the comm link,
greetingVengeful_Stronger_KangCharter,OpenCommLink,"$faction.id == kangcharter
$entity.isHostile
$entity.relativeStrength > 0
$faction.rel == VENGEFUL",$entity.ignorePlayerCommRequests = true 1,"""Dweller, today we battle for the fate of the Charter.""
OR
""The void will watch us do battle, dwellerr, but only you will see its face.""
OR
""The void calls your name, dweller.""
OR
""Dweller! You are under arrest by order of the Judiciary Executor council of the Sovereign Kang Charter of Orion. Power down your ships immediately or we will open fire!""
OR
""Dweller! You threaten the Kang Charter for the last time! This ends now.""
OR
""The void will claim you, dweller. Prepare yourself.""""
OR
""In the name of the Sovereign Kang Charter of Orion, I, $personName! will strike you down!""
OR
""We bow to no one, not the Hegemony, not the church, not Tri-Tachyon and especially not you.""
OR
""Your path of violence ends here and now!""
OR
""Lost to the chaos of the sector, you know only violence.""",cutCommLink:Cut the comm link,
relLevel_Vengeful_KangCharter,RelationshipLevelDesc,"$faction.id == kangcharter
$faction.rel == VENGEFUL",,The Judiciary Executor council has deemed you a threat to the continued existance of the Kang Charter and has instructed all Military Harbingers to consider you a priority target. Recovering your reputation at this point is exceedingly difficult.,,
relLevel_Hostile_KangCharter,RelationshipLevelDesc,"$faction.id == kangcharter
$faction.rel == HOSTILE",,The Judiciary Executor council has deemed you a felon and has authorized patrols to shoot your fleet down on sight. You are considered persona non grata on Norlem though certain individuals may still be willing to work with you under the table.,,
relLevel_Inhospitable_KangCharter,RelationshipLevelDesc,"$faction.id == kangcharter
$faction.rel == INHOSPITABLE",,This is the default state most factions have with the Charter on account of it being hidden and untrusting of outsiders. On Norlem traders won't trade with you and patrols will be watchful but they won't attack unless provoked. Kang officials probably don't even have you on file.,,
relLevel_Suspicious_KangCharter,RelationshipLevelDesc,"$faction.id == kangcharter
$faction.rel == SUSPICIOUS",,The Charter is open to trading with you and their patrols are less distrustful but that's as far as your relationship goes. various Sub Economic Directors have noted your willingness to assist are keeping an eye on you.,,
relLevel_Neutral_KangCharter,RelationshipLevelDesc,"$faction.id == kangcharter
$faction.rel == NEUTRAL",,"You have managed to break through the Charter's distrust, most of their officials who know you treat you with respect and officials consider you more reliable than the average independent.",,
relLevel_Favorable_KangCharter,RelationshipLevelDesc,"$faction.id == kangcharter
$faction.rel == FAVORABLE",,"The Kang Charter views you favorably, you may be an outsider but you are one of the few they want to interact with. By this point there's at least one Economic Director that has taken interest in your endeavours.",,
relLevel_Welcoming_KangCharter,RelationshipLevelDesc,"$faction.id == kangcharter
$faction.rel == WELCOMING",,"The Kang Charter views you very favourably, with quite a few individuals treating you as though you are a member. Most Charter citizens are happy when they see your fleet arrive at Norlem and you are given concessions that even citizens don't get.",,
relLevel_Friendly_KangCharter,RelationshipLevelDesc,"$faction.id == kangcharter
$faction.rel == FRIENDLY",,"The Kang Charter views you as one of their own, citizens celebrate your arrival and speculate on your location when you are not around. Pretty much every notable official knows about you, The Kang Counsil most certainly knows about you and views you favourably.",,
relLevel_Cooperative_KangCharter,RelationshipLevelDesc,"$faction.id == kangcharter
$faction.rel == COOPERATIVE",,"The Kang Charter views you as its most important ally, you are a recurring topic of conversation on official channels who speculate on your location when you are not around. The Kang Counsil considers you of great tactical importance.",,
RelLevelMoreDescription_Trade_Suspicious_KangCharter,RelLevelMoreDescription,"$faction.id == kangcharter
$player.numColonies > 0
$faction.rel == SUSPICIOUS",,A tenuous trade agreement has been made between your colonies and the Charter.,,
RelLevelMoreDescription_Trade_Neutral_KangCharter,RelLevelMoreDescription,"$faction.id == kangcharter
$player.numColonies > 0
$faction.rel == NEUTRAL",,A trade agreement has been made between your colonies and the Charter.,,
RelLevelMoreDescription_Trade_Favorable_KangCharter,RelLevelMoreDescription,"$faction.id == kangcharter
$player.numColonies > 0
$faction.rel == FAVORABLE",,A solid trade agreement has been made between your colonies and the Charter.,,
RelLevelMoreDescription_Trade_Welcoming_KangCharter,RelLevelMoreDescription,"$faction.id == kangcharter
$player.numColonies > 0
$faction.rel == WELCOMING",,The Kang Charter considers you a trusted trading partner.,,
RelLevelMoreDescription_Trade_Friendly_KangCharter,RelLevelMoreDescription,"$faction.id == kangcharter
$player.numColonies > 0
$faction.rel == FRIENDLY",,You are the primary trading partner of the Kang Charter.,,
RelLevelMoreDescription_Trade_Cooperative_KangCharter,RelLevelMoreDescription,"$faction.id == kangcharter
$player.numColonies > 0
$faction.rel == COOPERATIVE",,You are the primary trading partner of the Kang Charter.,,
# AI Core turn in
aiCores_turnInOptionSellFriendly_KangCharter,DialogOptionSelected,"$faction.id == kangcharter
$option == aiCores_startTurnIn
$faction.friendlyToPlayer",FireAll PopulateCoresTurnInOptions,"""Kang Charter doctrine requests us to place AI cores in containment, lest they fall into the hands of... you know what. We will compensate you for any cores you turn in, $playerName.""",,
aiCores_turnInOptionSell_KangCharter,DialogOptionSelected,"$faction.id == kangcharter
$option == aiCores_startTurnIn",FireAll PopulateCoresTurnInOptions,"""Kang Charter doctrine requests us to dispose of AI cores, lest they fall into the hands of... you know what. We will compensate you for any cores you turn in, outsider.""",,
aiCores_turnInOptionSellHostile_KangCharter,DialogOptionSelected,"$faction.id == kangcharter
$option == aiCores_startTurnIn
$faction.hostileToPlayer
$faction.rel == HOSTILE",FireAll PopulateCoresTurnInOptions,"""Kang Charter doctrine requests us to dispose of AI cores, lest they fall into the hands of... you know what. We will compensate you for any cores you turn in, dweller, despite your status as a wanted criminal.""",,
aiCores_turnInOptionSellVengeful_KangCharter,DialogOptionSelected,"$faction.id == kangcharter
$option == aiCores_startTurnIn
$faction.hostileToPlayer
$faction.rel == VENGEFUL",FireAll PopulateCoresTurnInOptions,"The $PersonRank does a visible double take

""...Is this an attempt to make ammends? Either way we will accept any AI cores you turn in, regardless of your... history.""",,
AICoresTurnedIn_Friendly_KangCharter,AICoresTurnedIn,"$faction.id == kangcharter
$faction.friendlyToPlayer",FireAll PopulateOptions,"""Once again proving yourself a valuable asset, $playerName. We appreciate you trusting us with this matter.""",,
AICoresTurnedIn_Neutral_KangCharter,AICoresTurnedIn,"$faction.id == kangcharter
",FireAll PopulateOptions,"""We appreciate you trusting us with this matter, other factions may not be as transparent about what they do with AI cores as they claim.""",,
AICoresTurnedIn_Hostile_KangCharter,AICoresTurnedIn,"$faction.id == kangcharter
$faction.rel == HOSTILE",FireAll PopulateOptions,"""We may have started out on the wrong foot here. Your contributions are acknowledged but don't think this erases your past actions.""",,
AICoresTurnedIn_Vengeful_KangCharter,AICoresTurnedIn,"$faction.id == kangcharter
$faction.rel == VENGEFUL",FireAll PopulateOptions,"""You know, you are going to need to give us a lot of these if you want us to stop shooting at you, your crimes are not exactly minor.""",,
TradePanelFlavorText_KangCharter,TradePanelFlavorText,$faction.id == kangcharter,"AddText ""The market is the definition of ""low tech"", trading specialized components for big rugged machinery."" marketFlavorTextColor",,,
TradePanelFlavorText_KangPlanet0On,TradePanelFlavorText,"$faction.id == kangcharter
$market.id == kang_market
$player.transponderOn == true
$stability == 0","AddText ""The trade depot is fairly utilitarian, lacking in decorations, furniture and even most of the usual holoprojectors that are always advertising something. In their place lay empty warehouses, vandalized storage units and the occasional decrepit building etched into the wall. All covered in graffiti."" marketFlavorTextColor

AddText ""No ships but yours are currently docked and the place looks like a ghost town, you can see a dead body on one of the landing pads and the constant noise of alarms drowns out any other noises."" marketFlavorTextColor

AddText ""After a while a lone, disheveled customs officer approaches you. You can, somehow, still do business."" marketFlavorTextColor",,,
TradePanelFlavorText_KangPlanet1On,TradePanelFlavorText,"$faction.id == kangcharter
$market.id == kang_market
$player.transponderOn == true
$stability == 1","AddText ""The trade depot is fairly utilitarian, lacking in decorations, furniture and even most of the usual holoprojectors that are always advertising something. In their place lay empty warehouses, vandalized storage units and the occasional decrepit building etched into the wall. All lively with graffiti."" marketFlavorTextColor

AddText ""No ships but yours are currently docked and the place looks like a ghost town, you can hear alarms blaring in the distance."" marketFlavorTextColor

AddText ""After a while a customs officer flanked by 2 guards approaches you. You can still do business."" marketFlavorTextColor",,,
TradePanelFlavorText_KangPlanet2On,TradePanelFlavorText,"$faction.id == kangcharter
$market.id == kang_market
$player.transponderOn == true
$stability == 2","AddText ""The trade depot is fairly utilitarian, lacking in decorations, furniture and even most of the usual holoprojectors that are always advertising something. In their place lay mostly empty warehouses, vandalized storage units and the occasional run down building etched into the wall. There's a significant amount of graffiti on everything."" marketFlavorTextColor

AddText ""Only a few ships besides yours are currently docked and the place looks like a ghost town, you can hear an alarm blaring in the distance."" marketFlavorTextColor

AddText ""After a while a customs officer flanked by several guards approaches you. You can still do business."" marketFlavorTextColor",,,
TradePanelFlavorText_KangPlanet3On,TradePanelFlavorText,"$faction.id == kangcharter
$market.id == kang_market
$player.transponderOn == true
$stability == 3","AddText ""The trade depot is fairly utilitarian, lacking in decorations, furniture and even most of the usual holoprojectors that are always advertising something. In their place lay run down military equipment, damaged storage units and the occasional run down building etched into the wall."" marketFlavorTextColor

AddText ""There's a graffiti and vandalism accross the station. Only a few ships besides yours are currently docked and the place looks like a ghost town."" marketFlavorTextColor

AddText ""After a while a small batallion of guards approaches you. You can still do business."" marketFlavorTextColor",,,
TradePanelFlavorText_KangPlanet4On,TradePanelFlavorText,"$faction.id == kangcharter
$market.id == kang_market
$player.transponderOn == true
$stability == 4","AddText ""The trade depot is fairly utilitarian, lacking in decorations, furniture and even most of the usual holoprojectors that are always advertising something. In their place lay run down military equipment, empty storage units and the occasional run down reinforced building etched into the wall, all illuminated by damaged heavy duty lights."" marketFlavorTextColor

AddText ""Currently the depot is lined with only a few civilian Charter ships, their crew unloading supplies and hyperspace fuel as they wait for the next batch of food, organics and various basic goods to arrive so they can launch once again into space."" marketFlavorTextColor

AddText ""You see a small battalion of ships docked near the end of the depots, their crew inspecting everything and everyone that comes in and out of the depot."" marketFlavorTextColor",,,
TradePanelFlavorText_KangPlanet5On,TradePanelFlavorText,"$faction.id == kangcharter
$market.id == kang_market
$player.transponderOn == true
$stability == 5","AddText ""The trade depot is fairly utilitarian, lacking in decorations, furniture and even most of the usual holoprojectors that are always advertising something. In their place lay many types of military equipment, large storage units and the occasional small, reinforced building etched into the wall, all illuminated by heavy duty lights."" marketFlavorTextColor

AddText ""Currently the depot is lined with civilian Charter ships, both old and new, their crew unloading supplies, hyperspace fuel and various specialized machinery as they wait for the next batch of food, organics and various basic goods to arrive so they can launch once again into space."" marketFlavorTextColor

AddText ""You see a large battalion of ships docked near the end of the depots, their crew inspecting everything and everyone that comes in and out of the depot."" marketFlavorTextColor",,,
TradePanelFlavorText_KangPlanet6On,TradePanelFlavorText,"$faction.id == kangcharter
$market.id == kang_market
$player.transponderOn == true
$stability == 6","AddText ""The trade depot is fairly utilitarian, lacking in decorations, furniture and even most of the usual holoprojectors that are always advertising something. In their place lay many types of military equipment and transportation machnery, large storage units and the occasional small, reinforced building etched into the wall, all illuminated by heavy duty lights."" marketFlavorTextColor

AddText ""Currently the depot is lined with civilian Charter ships, both old and new, their crew unloading supplies, hyperspace fuel and various specialized machinery as they wait for the next batch of food, organics and various basic goods to arrive so they can launch once again into space."" marketFlavorTextColor

AddText ""You see a battalion of ships docked near the end of the depots, their crew inspecting everything and everyone that comes in and out of the depot."" marketFlavorTextColor",,,
TradePanelFlavorText_KangPlanet7On,TradePanelFlavorText,"$faction.id == kangcharter
$market.id == kang_market
$player.transponderOn == true
$stability == 7","AddText ""The trade depot is fairly utilitarian, lacking in decorations, furniture and even most of the usual holoprojectors that are always advertising something. In their place lay many types of low tech transportation machinery, large storage units and the occasional small building etched into the wall, all illuminated by heavy duty lights."" marketFlavorTextColor

AddText ""Currently the depot is lined with civilian Charter ships, both old and new, their crew unloading supplies, hyperspace fuel and various specialized machinery as they wait for the next batch of food, organics and various basic goods to arrive so they can launch once again into space."" marketFlavorTextColor

AddText ""You see a small battalion of military ships docked near the end of the depots, their crew inspecting the cargo of traders."" marketFlavorTextColor",,,
TradePanelFlavorText_KangPlanet8On,TradePanelFlavorText,"$faction.id == kangcharter
$market.id == kang_market
$player.transponderOn == true
$stability == 8","AddText ""The trade depot is fairly utilitarian, lacking in decorations, furniture and even most of the usual holoprojectors that are always advertising something. In their place lay many types of low tech transportation machinery, large storage units and the occasional small building etched into the wall, all illuminated by heavy duty lights."" marketFlavorTextColor

AddText ""Currently the depot is lined with civilian Charter ships, both old and new, their crew unloading supplies, hyperspace fuel and various specialized machinery as they wait for the next batch of food, organics and various basic goods to arrive so they can launch once again into space."" marketFlavorTextColor

AddText ""You see a small group of military ships docked near the end of the depots, their crew ocasionally inspecting the cargo of traders."" marketFlavorTextColor",,,
TradePanelFlavorText_KangPlanet9On,TradePanelFlavorText,"$faction.id == kangcharter
$market.id == kang_market
$player.transponderOn == true
$stability == 9","AddText ""The trade depot is fairly utilitarian, lacking in decorations, furniture and even most of the usual holoprojectors that are always advertising something. In their place lay many types of low tech transportation machinery, large storage units and the occasional small building etched into the wall, all illuminated by heavy duty lights."" marketFlavorTextColor

AddText ""Currently the depot is lined with civilian Charter ships, both old and new, their crew unloading supplies, hyperspace fuel and various specialized machinery as they wait for the next batch of food, organics and various basic goods to arrive so they can launch once again into space."" marketFlavorTextColor

AddText ""You see a small group of military ships near the far end of the depot, observing the place while waiting for their own share of supplies."" marketFlavorTextColor",,,
